Spp,Long,Lat
GadusMacrocephalus,-118.5,33.5
GadusMacrocephalus,-122.5,48.5
GadusMacrocephalus,-123.5,48.5
GadusMacrocephalus,-124.5,47.5
GadusMacrocephalus,-124.5,48.5
GadusMacrocephalus,-125.5,47.5
GadusMacrocephalus,-125.5,48.5
GadusMacrocephalus,-126.5,48.5
GadusMacrocephalus,-127.5,50.5
GadusMacrocephalus,-127.5,51.5
GadusMacrocephalus,-129.5,51.5
GadusMacrocephalus,-130.5,54.5
GadusMacrocephalus,-130.5,55.5
GadusMacrocephalus,-131.5,54.5
GadusMacrocephalus,-132.5,53.5
GadusMacrocephalus,-132.5,54.5
GadusMacrocephalus,-133.5,55.5
GadusMacrocephalus,-134.5,56.5
GadusMacrocephalus,-134.5,58.5
GadusMacrocephalus,-135.5,55.5
GadusMacrocephalus,-135.5,56.5
GadusMacrocephalus,-136.5,56.5
GadusMacrocephalus,-136.5,57.5
GadusMacrocephalus,-137.5,57.5
GadusMacrocephalus,-137.5,58.5
GadusMacrocephalus,-140.5,58.5
GadusMacrocephalus,-141.5,58.5
GadusMacrocephalus,-141.5,59.5
GadusMacrocephalus,-142.5,59.5
GadusMacrocephalus,-143.5,59.5
GadusMacrocephalus,-144.5,59.5
GadusMacrocephalus,-145.5,59.5
GadusMacrocephalus,-145.5,60.5
GadusMacrocephalus,-146.5,59.5
GadusMacrocephalus,-146.5,60.5
GadusMacrocephalus,-146.5,61.5
GadusMacrocephalus,-147.5,58.5
GadusMacrocephalus,-147.5,59.5
GadusMacrocephalus,-147.5,60.5
GadusMacrocephalus,-148.5,58.5
GadusMacrocephalus,-148.5,59.5
GadusMacrocephalus,-149.5,57.5
GadusMacrocephalus,-149.5,58.5
GadusMacrocephalus,-149.5,59.5
GadusMacrocephalus,-149.5,60.5
GadusMacrocephalus,-150.5,57.5
GadusMacrocephalus,-150.5,58.5
GadusMacrocephalus,-150.5,59.5
GadusMacrocephalus,-151.5,56.5
GadusMacrocephalus,-151.5,57.5
GadusMacrocephalus,-151.5,58.5
GadusMacrocephalus,-151.5,59.5
GadusMacrocephalus,-152.5,56.5
GadusMacrocephalus,-152.5,57.5
GadusMacrocephalus,-152.5,58.5
GadusMacrocephalus,-152.5,59.5
GadusMacrocephalus,-152.5,60.5
GadusMacrocephalus,-153.5,55.5
GadusMacrocephalus,-153.5,56.5
GadusMacrocephalus,-153.5,57.5
GadusMacrocephalus,-153.5,58.5
GadusMacrocephalus,-153.5,59.5
GadusMacrocephalus,-154.5,54.5
GadusMacrocephalus,-154.5,55.5
GadusMacrocephalus,-154.5,56.5
GadusMacrocephalus,-154.5,57.5
GadusMacrocephalus,-154.5,58.5
GadusMacrocephalus,-155.5,55.5
GadusMacrocephalus,-155.5,56.5
GadusMacrocephalus,-155.5,57.5
GadusMacrocephalus,-156.5,55.5
GadusMacrocephalus,-156.5,56.5
GadusMacrocephalus,-157.5,54.5
GadusMacrocephalus,-157.5,55.5
GadusMacrocephalus,-157.5,56.5
GadusMacrocephalus,-158.5,54.5
GadusMacrocephalus,-158.5,55.5
GadusMacrocephalus,-158.5,56.5
GadusMacrocephalus,-159.5,54.5
GadusMacrocephalus,-159.5,55.5
GadusMacrocephalus,-159.5,58.5
GadusMacrocephalus,-160.5,54.5
GadusMacrocephalus,-160.5,55.5
GadusMacrocephalus,-160.5,56.5
GadusMacrocephalus,-160.5,58.5
GadusMacrocephalus,-161.5,54.5
GadusMacrocephalus,-161.5,55.5
GadusMacrocephalus,-161.5,56.5
GadusMacrocephalus,-161.5,57.5
GadusMacrocephalus,-161.5,58.5
GadusMacrocephalus,-162.5,53.5
GadusMacrocephalus,-162.5,54.5
GadusMacrocephalus,-162.5,55.5
GadusMacrocephalus,-162.5,56.5
GadusMacrocephalus,-162.5,58.5
GadusMacrocephalus,-163.5,53.5
GadusMacrocephalus,-163.5,54.5
GadusMacrocephalus,-163.5,55.5
GadusMacrocephalus,-163.5,56.5
GadusMacrocephalus,-163.5,57.5
GadusMacrocephalus,-163.5,58.5
GadusMacrocephalus,-163.5,59.5
GadusMacrocephalus,-164.5,53.5
GadusMacrocephalus,-164.5,54.5
GadusMacrocephalus,-164.5,55.5
GadusMacrocephalus,-164.5,56.5
GadusMacrocephalus,-164.5,57.5
GadusMacrocephalus,-164.5,58.5
GadusMacrocephalus,-164.5,59.5
GadusMacrocephalus,-165.5,53.5
GadusMacrocephalus,-165.5,54.5
GadusMacrocephalus,-165.5,55.5
GadusMacrocephalus,-165.5,56.5
GadusMacrocephalus,-165.5,57.5
GadusMacrocephalus,-165.5,58.5
GadusMacrocephalus,-165.5,59.5
GadusMacrocephalus,-166.5,53.5
GadusMacrocephalus,-166.5,54.5
GadusMacrocephalus,-166.5,55.5
GadusMacrocephalus,-166.5,56.5
GadusMacrocephalus,-166.5,57.5
GadusMacrocephalus,-166.5,58.5
GadusMacrocephalus,-167.5,52.5
GadusMacrocephalus,-167.5,53.5
GadusMacrocephalus,-167.5,54.5
GadusMacrocephalus,-167.5,55.5
GadusMacrocephalus,-167.5,56.5
GadusMacrocephalus,-167.5,57.5
GadusMacrocephalus,-167.5,58.5
GadusMacrocephalus,-167.5,59.5
GadusMacrocephalus,-168.5,52.5
GadusMacrocephalus,-168.5,53.5
GadusMacrocephalus,-168.5,55.5
GadusMacrocephalus,-168.5,56.5
GadusMacrocephalus,-168.5,57.5
GadusMacrocephalus,-168.5,58.5
GadusMacrocephalus,-168.5,59.5
GadusMacrocephalus,-169.5,52.5
GadusMacrocephalus,-169.5,53.5
GadusMacrocephalus,-169.5,55.5
GadusMacrocephalus,-169.5,56.5
GadusMacrocephalus,-169.5,57.5
GadusMacrocephalus,-169.5,58.5
GadusMacrocephalus,-169.5,59.5
GadusMacrocephalus,-170.5,52.5
GadusMacrocephalus,-170.5,53.5
GadusMacrocephalus,-170.5,54.5
GadusMacrocephalus,-170.5,55.5
GadusMacrocephalus,-170.5,56.5
GadusMacrocephalus,-170.5,57.5
GadusMacrocephalus,-170.5,58.5
GadusMacrocephalus,-170.5,59.5
GadusMacrocephalus,-171.5,51.5
GadusMacrocephalus,-171.5,52.5
GadusMacrocephalus,-171.5,53.5
GadusMacrocephalus,-171.5,56.5
GadusMacrocephalus,-171.5,57.5
GadusMacrocephalus,-171.5,58.5
GadusMacrocephalus,-171.5,59.5
GadusMacrocephalus,-171.5,60.5
GadusMacrocephalus,-172.5,51.5
GadusMacrocephalus,-172.5,52.5
GadusMacrocephalus,-172.5,53.5
GadusMacrocephalus,-172.5,54.5
GadusMacrocephalus,-172.5,56.5
GadusMacrocephalus,-172.5,57.5
GadusMacrocephalus,-172.5,58.5
GadusMacrocephalus,-172.5,59.5
GadusMacrocephalus,-172.5,60.5
GadusMacrocephalus,-173.5,51.5
GadusMacrocephalus,-173.5,52.5
GadusMacrocephalus,-173.5,56.5
GadusMacrocephalus,-173.5,57.5
GadusMacrocephalus,-173.5,58.5
GadusMacrocephalus,-173.5,59.5
GadusMacrocephalus,-173.5,60.5
GadusMacrocephalus,-174.5,51.5
GadusMacrocephalus,-174.5,52.5
GadusMacrocephalus,-174.5,57.5
GadusMacrocephalus,-174.5,58.5
GadusMacrocephalus,-174.5,59.5
GadusMacrocephalus,-174.5,60.5
GadusMacrocephalus,-175.5,51.5
GadusMacrocephalus,-175.5,52.5
GadusMacrocephalus,-175.5,58.5
GadusMacrocephalus,-175.5,59.5
GadusMacrocephalus,-175.5,60.5
GadusMacrocephalus,-175.5,61.5
GadusMacrocephalus,-176.5,51.5
GadusMacrocephalus,-176.5,52.5
GadusMacrocephalus,-176.5,58.5
GadusMacrocephalus,-176.5,59.5
GadusMacrocephalus,-176.5,60.5
GadusMacrocephalus,-176.5,61.5
GadusMacrocephalus,-177.5,51.5
GadusMacrocephalus,-177.5,58.5
GadusMacrocephalus,-177.5,59.5
GadusMacrocephalus,-177.5,60.5
GadusMacrocephalus,-177.5,61.5
GadusMacrocephalus,-178.5,51.5
GadusMacrocephalus,-178.5,58.5
GadusMacrocephalus,-178.5,59.5
GadusMacrocephalus,-178.5,60.5
GadusMacrocephalus,-179.5,51.5
GadusMacrocephalus,-179.5,52.5
GadusMacrocephalus,-179.5,60.5
GadusMacrocephalus,129.5,36.5
GadusMacrocephalus,131.5,42.5
GadusMacrocephalus,140.5,41.5
GadusMacrocephalus,141.5,37.5
GadusMacrocephalus,141.5,38.5
GadusMacrocephalus,141.5,47.5
GadusMacrocephalus,142.5,38.5
GadusMacrocephalus,142.5,42.5
GadusMacrocephalus,142.5,46.5
GadusMacrocephalus,143.5,46.5
GadusMacrocephalus,151.5,58.5
GadusMacrocephalus,163.5,61.5
GadusMacrocephalus,172.5,52.5
GadusMacrocephalus,172.5,53.5
GadusMacrocephalus,173.5,52.5
GadusMacrocephalus,173.5,53.5
GadusMacrocephalus,174.5,51.5
GadusMacrocephalus,174.5,52.5
GadusMacrocephalus,175.5,51.5
GadusMacrocephalus,175.5,52.5
GadusMacrocephalus,176.5,51.5
GadusMacrocephalus,176.5,52.5
GadusMacrocephalus,177.5,51.5
GadusMacrocephalus,177.5,52.5
GadusMacrocephalus,178.5,51.5
GadusMacrocephalus,179.5,51.5
GadusMacrocephalus,179.5,52.5
